"player","team_num","position","game_id","game_date","season","session","team","opponent","is_home","game_period","shift_num","seconds_start","seconds_end","seconds_duration","shift_start","shift_end","duration","shift_mod"
"ANDREW.SHAW","MTL65","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,9,1528,1583,55,"5:28","6:23","00:55",0
"OSCAR.LINDBERG","NYR24","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,7,1531,1575,44,"5:31","6:15","00:44",0
"ARTTURI.LEHKONEN","MTL62","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,9,1538,1583,45,"5:38","6:23","00:45",0
"DWIGHT.KING","MTL21","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,9,1542,1583,41,"5:42","6:23","00:41",0
"BRADY.SKJEI","NYR76","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,8,1547,1582,35,"5:47","6:22","00:35",0
"CHRIS.KREIDER","NYR20","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,11,1575,1600,25,"6:15","6:40","00:25",0
"DEREK.STEPAN","NYR21","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,12,1575,1600,25,"6:15","6:40","00:25",0
"MATS.ZUCCARELLO","NYR36","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,11,1575,1600,25,"6:15","6:40","00:25",0
"MARC.STAAL","NYR18","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,14,1582,1600,18,"6:22","6:40","00:18",0
"NICK.HOLDEN","NYR22","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,12,1582,1600,18,"6:22","6:40","00:18",0
"ANDREI.MARKOV","MTL79","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,12,1583,1600,17,"6:23","6:40","00:17",0
"BRENDAN.GALLAGHER","MTL11","R","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,10,1583,1600,17,"6:23","6:40","00:17",0
"PAUL.BYRON","MTL41","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,9,1583,1600,17,"6:23","6:40","00:17",0
"SHEA.WEBER","MTL6","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,13,1583,1600,17,"6:23","6:40","00:17",0
"TOMAS.PLEKANEC","MTL14","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,9,1583,1600,17,"6:23","6:40","00:17",0
"DAN.GIRARDI","NYR5","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,14,1600,1676,76,"6:40","7:56","01:16",0
"JIMMY.VESEY","NYR26","L","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,8,1600,1613,13,"6:40","6:53","00:13",0
"MIKA.ZIBANEJAD","NYR93","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,11,1600,1613,13,"6:40","6:53","00:13",0
"RICK.NASH","NYR61","L","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,11,1600,1613,13,"6:40","6:53","00:13",0
"RYAN.MCDONAGH","NYR27","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,2,16,1600,1676,76,"6:40","7:56","01:16",0
"ALEX.RADULOV","MTL47","R","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,9,1600,1613,13,"6:40","6:53","00:13",0
"JEFF.PETRY","MTL26","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,13,1600,1644,44,"6:40","7:24","00:44",0
"JORDIE.BENN","MTL8","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,2,13,1600,1644,44,"6:40","7:24","00:44",0
